EventID,iz,iy,Left,Right
12,0,0,0,0
12,0,1,0,0
12,0,2,0,0
12,1,0,0,0
12,1,1,0,0
12,1,2,0,0
12,2,0,0,0
12,2,1,0,0
12,2,2,0,0
13,0,0,0,0
13,0,1,0,0
13,0,2,0,0
13,1,0,0,0
13,1,1,0,0
13,1,2,0,0
13,2,0,0,0
13,2,1,0,0
13,2,2,0,0
14,0,0,0,0
14,0,1,0,0
14,0,2,0,0
14,1,0,0,0
14,1,1,0,0
14,1,2,0,0
14,2,0,0,0
14,2,1,0,0
14,2,2,0,0
21,0,0,0,0
21,0,1,0,0
21,0,2,0,0
21,1,0,0,0
21,1,1,0,0
21,1,2,0,0
21,2,0,0,0
21,2,1,0,0
21,2,2,0,0
22,0,0,0,0
22,0,1,0,0
22,0,2,0,0
22,1,0,0,0
22,1,1,0,0
22,1,2,0,0
22,2,0,0,0
22,2,1,0,0
22,2,2,0,0
23,0,0,0,0
23,0,1,0,0
23,0,2,0,0
23,1,0,0,0
23,1,1,0,0
23,1,2,0,0
23,2,0,0,0
23,2,1,0,0
23,2,2,0,0
30,0,0,0,0
30,0,1,0,0
30,0,2,0,0
30,1,0,0,0
30,1,1,0,0
30,1,2,0,0
30,2,0,0,0
30,2,1,0,0
30,2,2,0,0
31,0,0,0,0
31,0,1,0,0
31,0,2,0,0
31,1,0,0,0
31,1,1,0,0
31,1,2,0,0
31,2,0,0,0
31,2,1,0,0
31,2,2,0,0
32,0,0,0,0
32,0,1,0,0
32,0,2,0,0
32,1,0,0,0
32,1,1,0,0
32,1,2,0,0
32,2,0,0,0
32,2,1,0,0
32,2,2,0,0
36,0,0,6,12
36,0,1,0,0
36,0,2,0,0
36,1,0,397,863
36,1,1,5,1
36,1,2,1,10
36,2,0,731,1470
36,2,1,2,10
36,2,2,2,7
37,0,0,0,0
37,0,1,0,0
37,0,2,0,0
37,1,0,0,0
37,1,1,0,0
37,1,2,0,0
37,2,0,0,0
37,2,1,0,0
37,2,2,0,0
38,0,0,0,0
38,0,1,0,0
38,0,2,0,0
38,1,0,0,0
38,1,1,0,0
38,1,2,0,0
38,2,0,0,0
38,2,1,0,0
38,2,2,0,0
90,0,0,0,1
90,0,1,0,0
90,0,2,0,0
90,1,0,1,0
90,1,1,1,0
90,1,2,0,0
90,2,0,130,173
90,2,1,2,0
90,2,2,0,0
91,0,0,0,0
91,0,1,0,0
91,0,2,0,0
91,1,0,0,0
91,1,1,0,0
91,1,2,0,0
91,2,0,0,0
91,2,1,0,0
91,2,2,0,0
92,0,0,0,0
92,0,1,0,0
92,0,2,0,0
92,1,0,0,0
92,1,1,0,0
92,1,2,0,0
92,2,0,0,0
92,2,1,0,0
92,2,2,0,0
96,0,0,0,0
96,0,1,0,0
96,0,2,0,0
