EventID,iz,iy,Left,Right
6,0,0,0,0
6,0,1,0,0
6,1,0,0,0
6,1,1,0,0
6,2,0,0,0
6,2,1,0,0
7,0,0,0,0
7,0,1,0,0
7,1,0,0,0
7,1,1,0,0
7,2,0,0,0
7,2,1,0,0
8,0,0,0,0
8,0,1,0,0
8,1,0,0,0
8,1,1,0,0
8,2,0,0,0
8,2,1,0,0
21,0,0,0,0
21,0,1,0,0
21,1,0,0,0
21,1,1,0,0
21,2,0,0,0
21,2,1,0,0
22,0,0,0,0
22,0,1,0,0
22,1,0,0,0
22,1,1,0,0
22,2,0,0,0
22,2,1,0,0
23,0,0,0,0
23,0,1,0,0
23,1,0,0,0
23,1,1,0,0
23,2,0,0,0
23,2,1,0,0
36,0,0,8,12
36,0,1,1,0
36,1,0,694,1496
36,1,1,7,5
36,2,0,248,556
36,2,1,1,1
37,0,0,0,0
37,0,1,0,0
37,1,0,0,0
37,1,1,0,0
37,2,0,0,0
37,2,1,0,0
38,0,0,0,0
38,0,1,0,0
38,1,0,0,0
38,1,1,0,0
38,2,0,0,0
38,2,1,0,0
72,0,0,0,0
72,0,1,0,0
72,1,0,0,0
72,1,1,0,0
72,2,0,0,0
72,2,1,0,0
73,0,0,0,0
73,0,1,0,0
73,1,0,0,0
73,1,1,0,0
73,2,0,0,0
73,2,1,0,0
74,0,0,0,0
74,0,1,0,0
74,1,0,0,0
74,1,1,0,0
74,2,0,0,0
74,2,1,0,0
75,0,0,0,0
75,0,1,0,0
75,1,0,0,0
75,1,1,0,0
75,2,0,0,0
75,2,1,0,0
76,0,0,0,0
76,0,1,0,0
76,1,0,0,0
76,1,1,0,0
76,2,0,0,0
76,2,1,0,0
77,0,0,0,0
77,0,1,0,0
77,1,0,0,0
77,1,1,0,0
77,2,0,0,0
77,2,1,0,0
78,0,0,0,0
78,0,1,0,0
78,1,0,0,0
78,1,1,0,0
78,2,0,0,0
78,2,1,0,0
79,0,0,0,0
79,0,1,0,0
79,1,0,0,0
79,1,1,0,0
79,2,0,0,0
79,2,1,0,0
80,0,0,0,0
80,0,1,0,0
80,1,0,0,0
80,1,1,0,0
80,2,0,0,0
80,2,1,0,0
81,0,0,0,0
81,0,1,0,0
81,1,0,0,0
81,1,1,0,0
81,2,0,0,0
81,2,1,0,0
82,0,0,0,0
82,0,1,0,0
82,1,0,0,0
82,1,1,0,0
82,2,0,0,0
82,2,1,0,0
83,0,0,0,0
83,0,1,0,0
83,1,0,0,0
83,1,1,0,0
83,2,0,0,0
83,2,1,0,0
84,0,0,0,0
84,0,1,0,0
84,1,0,0,0
84,1,1,0,0
84,2,0,0,0
84,2,1,0,0
85,0,0,0,0
85,0,1,0,0
85,1,0,0,0
85,1,1,0,0
85,2,0,0,0
85,2,1,0,0
86,0,0,0,0
86,0,1,0,0
86,1,0,0,0
86,1,1,0,0
86,2,0,0,0
86,2,1,0,0
87,0,0,0,0
87,0,1,0,0
87,1,0,0,0
87,1,1,0,0
87,2,0,0,0
87,2,1,0,0
88,0,0,0,0
88,0,1,0,0
88,1,0,0,0
88,1,1,0,0
88,2,0,0,0
88,2,1,0,0
89,0,0,0,0
89,0,1,19,21
89,1,0,1,4
89,1,1,842,763
89,2,0,5,13
89,2,1,1886,1795
30,0,0,0,0
30,0,1,0,0
30,1,0,0,0
30,1,1,0,0
30,2,0,0,0
30,2,1,0,0
31,0,0,0,0
31,0,1,0,0
31,1,0,0,0
31,1,1,0,0
31,2,0,0,0
31,2,1,0,0
32,0,0,0,0
32,0,1,0,0
32,1,0,0,0
32,1,1,0,0
32,2,0,0,0
32,2,1,0,0
42,0,0,0,0
42,0,1,0,0
42,1,0,0,0
42,1,1,0,0
42,2,0,0,0
42,2,1,0,0
43,0,0,0,0
43,0,1,0,0
43,1,0,0,0
43,1,1,0,0
43,2,0,0,0
43,2,1,0,0
44,0,0,0,0
44,0,1,0,0
44,1,0,0,0
44,1,1,0,0
44,2,0,0,0
44,2,1,0,0
45,0,0,0,1
45,0,1,4,7
45,1,0,0,0
45,1,1,18,21
45,2,0,5,24
45,2,1,1285,2823
46,0,0,0,0
46,0,1,0,0
46,1,0,0,0
46,1,1,0,0
46,2,0,0,0
46,2,1,0,0
47,0,0,0,0
47,0,1,5,5
47,1,0,1,0
47,1,1,10,10
47,2,0,0,1
47,2,1,1131,1108
24,0,0,0,0
24,0,1,0,0
24,1,0,0,0
24,1,1,0,0
24,2,0,0,0
24,2,1,0,0
25,0,0,0,0
25,0,1,0,0
25,1,0,0,0
25,1,1,0,0
25,2,0,0,0
25,2,1,0,0
26,0,0,0,0
26,0,1,0,0
26,1,0,0,0
26,1,1,0,0
26,2,0,0,0
26,2,1,0,0
39,0,0,0,1
39,0,1,3,5
39,1,0,4,3
39,1,1,637,1195
39,2,0,0,2
39,2,1,6,5
40,0,0,2,0
40,0,1,12,1
40,1,0,0,0
40,1,1,25,3
40,2,0,28,1
40,2,1,2445,496
41,0,0,0,0
41,0,1,0,0
41,1,0,0,0
41,1,1,0,0
41,2,0,0,0
41,2,1,0,0
93,0,0,0,0
93,0,1,0,0
93,1,0,0,0
93,1,1,0,0
93,2,0,0,0
93,2,1,0,0
94,0,0,1,1
94,0,1,5,3
94,1,0,1,0
94,1,1,193,83
94,2,0,1,5
94,2,1,2004,1486
95,0,0,0,0
95,0,1,0,0
95,1,0,0,0
95,1,1,0,0
95,2,0,0,0
95,2,1,0,0
0,0,0,0,0
0,0,1,0,0
0,1,0,0,0
0,1,1,0,0
0,2,0,0,0
0,2,1,0,0
1,0,0,0,0
1,0,1,0,0
1,1,0,0,0
1,1,1,0,0
1,2,0,0,0
1,2,1,0,0
2,0,0,0,0
2,0,1,0,0
2,1,0,0,0
2,1,1,0,0
2,2,0,0,0
2,2,1,0,0
12,0,0,0,0
12,0,1,0,0
12,1,0,0,0
12,1,1,0,0
12,2,0,0,0
12,2,1,0,0
13,0,0,0,0
13,0,1,0,0
13,1,0,0,0
13,1,1,0,0
13,2,0,0,0
13,2,1,0,0
14,0,0,0,0
14,0,1,0,0
14,1,0,0,0
14,1,1,0,0
14,2,0,0,0
14,2,1,0,0
27,0,0,101,185
27,0,1,1,1
27,1,0,1,0
27,1,1,0,0
27,2,0,0,0
27,2,1,0,0
28,0,0,0,0
28,0,1,0,0
28,1,0,0,0
28,1,1,0,0
28,2,0,0,0
28,2,1,0,0
29,0,0,0,0
29,0,1,0,0
29,1,0,0,0
29,1,1,0,0
29,2,0,0,0
29,2,1,0,0
48,0,0,0,0
48,0,1,0,0
48,1,0,0,0
48,1,1,0,0
48,2,0,0,0
48,2,1,0,0
49,0,0,0,0
49,0,1,0,0
49,1,0,0,0
49,1,1,0,0
49,2,0,0,0
49,2,1,0,0
50,0,0,0,0
50,0,1,0,0
50,1,0,0,0
50,1,1,0,0
50,2,0,0,0
50,2,1,0,0
51,0,0,0,0
51,0,1,0,0
51,1,0,0,0
51,1,1,0,0
51,2,0,0,0
51,2,1,0,0
52,0,0,0,0
52,0,1,0,0
52,1,0,0,0
52,1,1,0,0
52,2,0,0,0
52,2,1,0,0
53,0,0,0,0
53,0,1,0,0
53,1,0,0,0
53,1,1,0,0
53,2,0,0,0
53,2,1,0,0
54,0,0,1,2
54,0,1,719,220
54,1,0,0,0
54,1,1,3,2
54,2,0,0,0
54,2,1,1,0
55,0,0,0,0
55,0,1,0,0
55,1,0,0,0
55,1,1,0,0
55,2,0,0,0
55,2,1,0,0
56,0,0,15,0
56,0,1,168,11
56,1,0,308,51
56,1,1,6189,320
56,2,0,5,1
56,2,1,99,1
66,0,0,0,0
66,0,1,0,0
66,1,0,0,0
66,1,1,0,0
66,2,0,0,0
66,2,1,0,0
67,0,0,0,0
67,0,1,0,0
67,1,0,0,0
67,1,1,0,0
67,2,0,0,0
67,2,1,0,0
68,0,0,0,0
68,0,1,0,0
68,1,0,0,0
68,1,1,0,0
68,2,0,0,0
68,2,1,0,0
69,0,0,3,0
69,0,1,26,9
